error_type,google_id,amazon_id,lexical_score,dense_score,lexical_rank,dense_rank,rrf_score,rrf_rank,retrieval_sources,gold_injected,lexical_similarity,dense_similarity,title_token_jaccard,title_fuzzy_similarity,manufacturer_exact,manufacturer_fuzzy_similarity,model_token_jaccard,numeric_token_conflict,relative_price_difference,query_manufacturer_missing,candidate_manufacturer_missing,query_description_missing,candidate_description_missing,query_price_missing,candidate_price_missing,retrieval_source_agreement,reciprocal_lexical_rank,reciprocal_dense_rank,probability,is_gold_pair,duplicate_group_id,top1_top2_margin,has_gold_listing,gold_retrieved,ranking_outcome,action,action_correct,google_title,google_manufacturer,google_price,amazon_title,amazon_manufacturer,amazon_price
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/11711275868800545948,b000ga99tm,0.8741386504828114,0.8026781678199768,1,1,0.03278688524590164,1,lexical+dense,False,0.8741386504828114,0.8026781678199768,0.6,1.0,0.0,0.0,0.0,0.0,0.2042042042042042,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8930941179574662,False,,,,,,,,pokemon team turbo,,7.95,pokemon team turbo (jewel case),valusoft,9.99
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/12962968220446257144,b000jqv8t2,0.6916520954545093,0.8203746676445007,1,1,0.03278688524590164,1,lexical+dense,False,0.6916520954545093,0.8203746676445007,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8826074103357501,False,,,,,,,,rl296aa red hat enterprise linux ws - ( v. 4 update 4 ) - license - 1 workstation,,211.74,red hat enterprise linux ws - ( v. 4 update 4 ) - license - 1 workstation ( rl296aa ),hewlett packard,
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/13276293278980872969,b00083grii,0.8938281476253748,0.9030654430389404,1,1,0.03278688524590164,1,lexical+dense,False,0.8938281476253748,0.9030654430389404,1.0,1.0,0.0,0.0,0.0,0.0,0.5012531328320802,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8754685609284157,False,,,,,,,,quickstart photo montage studio,,9.95,quickstart photo montage studio,selectsoft publishing,19.95
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/18251424810598585817,b000ea9u2a,0.6248419842064874,0.8093490600585938,2,2,0.03225806451612903,2,lexical+dense,False,0.6248419842064874,0.8093490600585938,0.75,0.9411764705882354,0.0,0.0,0.0,0.0,0.1122640330041254,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.8574471030639946,False,,,,,,,,csdc liquid ledger personal finance - modeless software,,71.01,modeless liquid ledger personal finance software (mac),csdc,79.99
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/13635233890006695775,b000ggmbhi,0.896683934459776,0.8986068964004517,1,1,0.03278688524590164,1,lexical+dense,False,0.896683934459776,0.8986068964004517,1.0,1.0,0.0,0.0,0.0,0.0,0.5513784461152882,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8481794698362842,False,,,,,,,,world of wild cats,,8.95,world of wild cats,arc media inc.,19.95
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/11524039735478682676,b000brm3xe,0.4417225939626598,0.831116795539856,1,1,0.03278688524590164,1,lexical+dense,False,0.4417225939626598,0.831116795539856,0.75,0.9494949494949495,0.0,0.0,1.0,0.0,0.08001600320064013,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8271083690837563,False,,,,,,,,computrace lojack for laptops - 1 yr subscription,,45.99,computrace lojack for laptops: 1 year subscription,absolute software,49.99
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/16494801122597503782,b000hbys5k,0.3475559197978325,0.7343798279762268,2,2,0.03225806451612903,2,lexical+dense,False,0.3475559197978325,0.7343798279762268,0.8,0.9491525423728814,0.0,0.0,1.0,0.0,0.00040004000400032047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.8127055739183997,False,,,,,,,,quickbooks(r) simple start 2007,,99.99,quickbooks simple start 2007,intuit,99.95
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/9889997485442958372,b0001gngl8,0.8396392945781757,0.8771542906761169,1,1,0.03278688524590164,1,lexical+dense,False,0.8396392945781757,0.8771542906761169,0.7142857142857143,0.9047619047619048,0.0,0.0,0.0,0.0,0.33622414943295537,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7955304448016133,False,,,,,,,,zoboomafoo animal logic with workbook combo,,9.95,zoboomafoo animal logic cd/workbook combo,brighter minds media inc.,14.99
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/17688197440309069858,b000lu89yi,0.2766206801559156,0.6113460659980774,1,1,0.03278688524590164,1,lexical+dense,False,0.2766206801559156,0.6113460659980774,1.0,0.9795918367346939,0.0,0.0,0.0,0.0,0.0008001600320063842,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7867031944116915,False,,,,,,,,system care? professional,,49.99,system care professional,avanquest,49.95
pair_false_positive_at_0_5,http://www.google.com/base/feeds/snippets/10898705926445837951,b00029bosq,0.9057521701523278,0.9016003012657166,1,1,0.03278688524590164,1,lexical+dense,False,0.9057521701523278,0.9016003012657166,1.0,1.0,0.0,0.0,0.0,0.0,0.667779632721202,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7739412228414381,False,,,,,,,,mighty math number heroes,,9.95,mighty math number heroes,edmark,29.95
pair_false_negative_at_0_5,http://www.google.com/base/feeds/snippets/18387306349260922373,b000hbxjt6,0.0973031232968736,0.33913305401802063,3,8,0.03057889822595705,3,lexical+dense,False,0.0973031232968736,0.33913305401802063,0.0,0.46551724137931033,0.0,0.0,0.0,1.0,0.1599199899987498,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.125,0.001901108075440212,True,,,,,,,,intuit inc 299529 qb prem mfg & whlesle 07 (intuit inc 299529),,335.99,quickbooks premier manufacturer and wholesale edition 2007,intuit,399.95
pair_false_negative_at_0_5,http://www.google.com/base/feeds/snippets/17346668920138765245,b000nvspyo,0.43317092270413815,0.7256916761398315,1,1,0.03278688524590164,1,lexical+dense,False,0.43317092270413815,0.7256916761398315,0.0625,0.3148148148148148,0.0,0.0,0.0,1.0,0.2382963988919667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.005495351576813835,True,,,,,,,,sony vegas7.0+dvd editing software with sound forge 8 for windows professional editing software,,549.95,vegas 7 + dvd/soundforge8bundl,sony media,722.0
pair_false_negative_at_0_5,http://www.google.com/base/feeds/snippets/13394537834910060641,b000hbvvka,0.10084085325341924,0.4813283383846283,4,1,0.032018442622950824,1,lexical+dense,False,0.10084085325341924,0.4813283383846283,0.2,0.4634146341463415,1.0,1.0,1.0,0.0,0.15712448927112205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.006464889484772124,True,,,,,,,,qb pos 6.0 pro solution hw/sw,intuit,1474.99,quickbooks point-of-sale pro with hardware bundle 6.0,intuit,1749.95
pair_false_negative_at_0_5,http://www.google.com/base/feeds/snippets/11829938385250188093,b000e136ga,0.19300014712389646,0.48325231671333313,15,1,0.029726775956284153,2,lexical+dense,False,0.19300014712389646,0.48325231671333313,0.25,0.7096774193548387,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,1.0,0.011927055157402592,True,,,,,,,,extensis portfolio 8,,195.99,portfolio 8 stand-alone 1-usr boxed,extensis,
pair_false_negative_at_0_5,http://www.google.com/base/feeds/snippets/18376303388125635572,b000gwkol2,0.578815554294227,0.5552701354026794,1,1,0.03278688524590164,1,lexical+dense,False,0.578815554294227,0.5552701354026794,0.17391304347826086,0.5151515151515151,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.012778874454640418,True,,,,,,,,hewlett packard ba154aa dp open file agent win 5wkst ltu,,320.44,ov data protector open file 5-wk v.9 ltu incl ltu for 5 win nt/2000/xp workstati,hewlett packard,
pair_false_negative_at_0_5,http://www.google.com/base/feeds/snippets/18213081663134894535,b000i8od4i,0.20575592703789042,0.6943964958190918,5,1,0.03177805800756621,1,lexical+dense,False,0.20575592703789042,0.6943964958190918,0.3076923076923077,0.7209302325581396,0.0,0.0,0.0,1.0,0.46523809523809523,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.013180999088197233,True,,,,,,,,adobe acrobat v8.0 professional for mac upsell from std-pro,,145.99,acrobat professional 8 mac upsell standard-professional,adobe,273.0
